clinic,city,department,job_title,qualification,pay_grade,pay_text,housing,housing_quote,employment_type,requirements_must,experience_required,confidence,confidence_why,job_url
Kirinus PsoriSol Klinik,Hersbruck,Psychosomatische Pflegestation,Pflegefachkraft / Co-Therapeut für Psychosomatische Station (m/w/d) - PsoriSol Klinik Hersbruck,pflegefachkraft,,Sicher und fair: Tarifliche Vergütung inkl. Urlaubs- und Weihnachtsgeld,unklar,,vollzeit_teilzeit,"Abgeschlossene Ausbildung als Gesundheits- und Krankenpfleger:in / Pflegefachperson. | Erfahrung in Psychosomatik oder Psychiatrie wünschenswert – aber kein Muss: Ihre Begeisterung für das Fach zählt mehr. | Offenheit für persönliche Weiterentwicklung und Bereitschaft zu Fortbildungen. | Echtes Interesse am Menschen, Empathie und Freude an Begegnung. | Teamgeist, Zuverlässigkeit und klare Kommunikation sind für Sie selbstverständlich. | Sehr gute Deutschkenntnisse (C2) in Wort und Schrift.",,4,Klinik nach Anzeigenort korrigiert,https://karriere.kirinus.de/stellenangebote/detail/j970-pflegefachkraft-/-co-therapeut-fuer-psychosomatische-station-m/w/d-psorisol-klinik
Kirinus Schlemmer Klinik,Bad Tölz,Psychosomatik,Gesundheits- und Krankenpfleger / Co Therapeut (m/w/d) - Schlemmer Klinik,pflegefachkraft,,Übertarifliche Bezahlung,unklar,,vollzeit_teilzeit,"Sie verfügen über eine abgeschlossene Berufsausbildung zur/zum examinierten Gesundheits- und Krankenpfleger/in (bzw. Krankenschwester) | Vorerfahrung in der Psychosomatik und/oder Psychiatrie von Vorteil | Sie sind interessiert an der Psychosomatik und bringen eine hohe Bereitschaft zu Fortbildungen mit | Ihre Offenheit und Freude an der Arbeit mit Menschen zeichnen Sie aus | Als echter Teamplayer sind Sie zuverlässig, kommunikationsstark und schätzen den Zusammenhalt unter Kolleginnen und Kollegen | Sehr gute Deutschkenntnisse (ab C2-Level) in Wort und Schrift runden Ihr Profil ab",,5,,https://karriereportal.kirinus.de/Gesundheits-und-Krankenpfleger-Co-Therapeut-mwd-Schlemmer--de-j105.html
Kirinus Schlemmer Klinik,Bad Tölz,Aufnahme- und Belegungssteuerung im Koordinationsstützpunkt,Pflegefachkraft (m/w/d) für die Aufnahme- und Belegungssteuerung im Koordinationsstützpunkt - Schlemmer Klinik,pflegefachkraft,,Leistungsgerechte Vergütung und 30 Tage Urlaub pro Jahr,unklar,,teilzeit,"Sie verfügen über eine abgeschlossene dreijährige Pflegeausbildung als Pflegefachkraft (m/w/d), Gesundheits- und Krankenpfleger (m/w/d) | Freude an strukturierter, planerischer Arbeit und an der Steuerung komplexer Abläufe | Sicherer Umgang mit Klinikinformationssystemen und MS Office | Organisationsstärke, Verlässlichkeit und ein klarer Blick für Prioritäten | Empathie, Serviceorientierung und ein professionelles Auftreten runden Ihr Profil ab",,5,,https://karriereportal.kirinus.de/Pflegefachkraft-mwd-fuer-die-Aufnahme-und-Belegungssteueru-de-j1098.html
Klinik Bavaria,Bad Kissingen,neurologischen Station,"Pflegefachkraft (m/w/d) - (GKP, AP)",pflegefachkraft,,"Jahresbruttogehalt: 42.500 € - 62.500 € (abhängig von Berufserfahrung, Qualifikation und Fachkenntnisse)",unklar,,vollzeit_teilzeit,"eine abgeschlossene Ausbildung als Pflegefachkraft (GKP, AP) oder eine vergleichbare Qualifikationen | Bereitschaft zur Tätigkeit im 3-Schicht-Dienst | Empathie und Einfühlungsvermögen | Bereitschaft zu Fortbildung und Weiterentwicklung",,5,,https://klinikbavaria-portal.rexx-systems.com/Pflegefachkraft-mwd-GKP-AP-de-j363.html
Klinik Bavaria,Bad Kissingen,SalutoCare,Pflegefachkraft (m/w/d) - SalutoCare,pflegefachkraft,,"Jahresbruttogehalt: 50.500 € - 62.500 € (abhängig von Berufserfahrung, Qualifikation und Fachkenntnisse)",unklar,,vollzeit_teilzeit,"Abgeschlossene Ausbildung als Pflegefachkraft (m/w/d) oder eine vergleichbare Qualifikation, z.B. Gesundheits- und Krankenpfleger, Altenpfleger (m/w/d) | Bereitschaft zur Arbeit im Schicht- und Wochenenddienst | Ausgeprägte Serviceorientierung und verantwortungsbewusstes Handeln | Wertschätzender und respektvoller Umgang mit Rehabilitanden sowie deren Angehörigen | Hohe Empathie und Orientierung am Wohl der Rehabilitanden | Hohes Maß an Flexibilität | Sicheres Auftreten und sprachliche Gewandtheit | Offenheit für berufliche Weiterbildung und persönliche Weiterentwicklung",,5,,https://klinikbavaria-portal.rexx-systems.com/Pflegefachkraft-mwd-SalutoCare-de-j318.html
Klinik Donaustauf,Donaustauf,Intensiv- und Weaningstation,Intensivfachkräfte (m/w/d) für unsere Intensiv- und Weaningstation,pflegefachkraft,,Vergütung und Sozialleistungen nach AVR Caritas mit zusätzlicher Altersversorgung,unklar,,Voll- oder Teilzeit,Examinierte/-r Gesundheits- und Krankenpfleger/-in,"Fachweiterbildung für Anästhesie und Intensivmedizin oder Berufserfahrung im Bereich der Intensivpflege, Weaning- und Beatmungspflege wünschenswert",3,Zuordnung aus dem vorherigen Lauf übernommen; Ort der Stelle nicht belegt,https://csm-donaustauf.de/beruf-und-karriere/stellenangebote/alle-stellenangebote/pflegedienst/instensivfachkraefte-m/w/d-fuer-unsere-intensiv-und-weaningstation
Klinik Donaustauf,Donaustauf,Allgemeinstation,Mama-Papa-Dienst in der Pflege auf Allgemeinstation (m/w/d) Zum nächstmöglichen Zeitpunkt,pflegefachkraft,,Vergüten und Sozialleistungen nach AVR Caritas mit zusätzlicher Altersversorgung,unklar,,,"Abgeschlossenes Ausbildung als Pflegefachkraft (m/w/d) | Kommunikationsstärke und Teamfähigkeit | Eigenverantwortung und Engagement | Hohes Maß an Loyalität und Zuverlässigkeit | Fachliche, soziale und persönliche Kompetenz, Verantwortungsbewusstsein und Engagement | Freude an der Arbeit mit Menschen",,3,"einzige Klinik am Portal, Ort der Anzeige unbekannt; Ort der Stelle nicht belegt",https://csm-donaustauf.de/beruf-und-karriere/stellenangebote/alle-stellenangebote/pflegedienst/mama-papa-dienst-in-der-pflege-auf-allgemeinstation-m/w/d
Klinik Donaustauf,Donaustauf,pneumologische Station,Pflegefachkräfte Pneumologische Station (m/w/d) Zum nächstmöglichen Zeitpunkt,pflegefachkraft,,Vergütung und Sozialleistungen nach AVR Caritas mit zusätzlicher Altersversorgung,unklar,,vollzeit_teilzeit,Examinierte/-r Gesundheits- und Krankenpfleger/-in | Verantwortungsbewusstsein und Engagement | Aufgeschlossenheit gegenüber neuen pflegerischen und medizinischen Entwicklungen | Bereitschaft zu konstruktiver Zusammenarbeit mit allen Berufsgruppen | Ganzheitliches Pflegeverständnis und innovatives Prozessdenken,,3,"einzige Klinik am Portal, Ort der Anzeige unbekannt; Ort der Stelle nicht belegt",https://csm-donaustauf.de/beruf-und-karriere/stellenangebote/alle-stellenangebote/pflegedienst/pflegefachkraefte-pneumologische-station-m/w/d
Klinik Dr. Robert Schindlbeck,Herrsching am Ammersee,Dialyseabteilung,Gesundheits- und Krankenpfleger (m/w/d) für die Dialyseabteilung,pflegefachkraft,,"Attraktive Vergütung inkl. zusätzlicher betrieblicher Altersvorsorge (4,8 %)",unklar,,"Voll- oder Teilzeit, unbefristet",Abgeschlossene Ausbildung als Gesundheits- und Krankenpfleger,,4,Zuordnung aus dem vorherigen Lauf übernommen,https://starnberger-kliniken-karriereportalmein-check-in.career.softgarden.de/jobs/54655978/
Klinik Dr. Robert Schindlbeck,Herrsching am Ammersee,Intensiv- und Überwachungsstation,Gesundheits- und Krankenpfleger (m/w/d) für die Intensiv- und Überwachungsstation,pflegefachkraft,,"Attraktive Vergütung inkl. zusätzlicher betrieblicher Altersvorsorge (4,8 %)",unklar,,"Voll- oder Teilzeit, unbefristet",Abgeschlossene Ausbildung als Gesundheits- und Krankenpfleger,,4,Zuordnung aus dem vorherigen Lauf übernommen,https://starnberger-kliniken-karriereportalmein-check-in.career.softgarden.de/jobs/54656328/
Klinik Dr. Robert Schindlbeck,Herrsching am Ammersee,Internistische Allgemeinstation,Gesundheits- und Krankenpfleger oder MFA (m/w/d) für die Internistische Allgemeinstation,pflegefachkraft,,"Attraktive Vergütung inkl. zusätzlicher betrieblicher Altersvorsorge (4,8 %)",unklar,,unbefristet,Abgeschlossene Ausbildung als Gesundheits- und Krankenpfleger oder MFA (m/w/d),,4,Zuordnung aus dem vorherigen Lauf übernommen,https://starnberger-kliniken-karriereportalmein-check-in.career.softgarden.de/jobs/54656893/
Klinik Dr. Robert Schindlbeck,Herrsching am Ammersee,Notaufnahme,Pflegefachkraft (m/w/d) für die Notaufnahme,pflegefachkraft,,"Attraktive Vergütung inkl. zusätzlicher betrieblicher Altersvorsorge (4,8 %)",unklar,,unbefristet,Abgeschlossene Ausbildung als Pflegefachkraft (m/w/d),,4,Zuordnung aus dem vorherigen Lauf übernommen,https://starnberger-kliniken-karriereportalmein-check-in.career.softgarden.de/jobs/54656448/
Klinik Dr. Robert Schindlbeck,Herrsching am Ammersee,Akutgeriatrie,Pflegefachkraft (m/w/d) für unsere Station der interdisziplinären Altersmedizin,fachweiterbildung,,"Attraktive Vergütung inkl. zusätzlicher betrieblicher Altersvorsorge (4,8 %)",nein,,,"Abgeschlossene Ausbildung als Gesundheits- und Krankenpfleger*in oder Altenpfleger*in | erfolgreich abgeschlossene Weiterbildung zur Fachkraft für Geriatrie, oder Bereitschaft, diese zu erwerben | Engagement, Lernbereitschaft und Bereitschaft zum selbstständigen Arbeiten | Motivation und Freude am Arbeiten im interdisziplinären Team | Empathischer, respektvoller und offener Umgang mit Patient*innen, Angehörigen und Kolleg*innen | Freude und Geduld bei der Arbeit mit älteren Menschen",,4,Klinik nach Anzeigenort korrigiert,https://starnberger-kliniken-karriereportalmein-check-in.career.softgarden.de/jobs/54654788/Pflegefachkraft-m-w-d-f%C3%BCr-unsere-Station-der-interdisziplin%C3%A4ren-Altersmedizin/
Klinik Dr. Robert Schindlbeck,Herrsching am Ammersee,Station der interdisziplinären Altersmedizin / Akutgeriatrie,Pflegefachkraft (m/w/d) für unsere Station der interdisziplinären Altersmedizin,pflegefachkraft,,"Attraktive Vergütung inkl. zusätzlicher betrieblicher Altersvorsorge (4,8 %)",unklar,,,"Abgeschlossene Ausbildung als Gesundheits- und Krankenpfleger*in oder Altenpfleger*in | Weiterbildung zur Fachkraft für Geriatrie oder Bereitschaft, diese zu erwerben",Weiterbildung zur Fachkraft für Geriatrie (oder Bereitschaft),4,Zuordnung aus dem vorherigen Lauf übernommen,https://starnberger-kliniken-karriereportalmein-check-in.career.softgarden.de/jobs/54654788/
Klinik Fränkische Schweiz (Ebermannstadt),Ebermannstadt,Innere Medizin und Geriatrische Rehabilitation,Examinierte Pflegefachkraft (m/w/d) für die Abteilungen Innere Medizin und Geriatrische Rehabilitation für den Standort Ebermannstadt,pflegefachkraft,,Mit einer Vergütung nach TVöD mit allen tariflichen Sozialleistungen des öffentlichen Dienstes.,,,vollzeit_teilzeit,"Sie haben eine abgeschlossene Ausbildung zum Gesundheits- und Krankenpfleger (m/w/d), Altenpfleger (m/w/d) oder eine vergleichbare Ausbildung. | Eine engagierte und aufgeschlossene Persönlichkeit zeichnet Sie aus | Sie bereichern unser Team mit Ihrer hohen fachlichen Kompetenz, Empathie und ausgeprägten Patientenorientierung. | Sie können sich mit Teamfähigkeit, Zuverlässigkeit, Kooperationsbereitschaft und Flexibilität identifizieren. | Professionalität und Leidenschaft kombinieren Sie mit der Bereitschaft zur Schicht-, Sonn- und Feiertagsarbeit.",,5,,https://www.klinik-fraenkische-schweiz.de/herz/ueber_uns/stellenangebote/examinierte-pflegekraft-mwd
Klinik Fränkische Schweiz (Ebermannstadt),Ebermannstadt,Innere Medizin und Geriatrische Rehabilitation,Pflegefachhelfer (m/w/d) für die Abteilungen Innere Medizin und Geriatrische Rehabilitation,hilfskraft,,alle tariflichen Leistungen nach dem TVöD-K,,,,abgeschlossene Ausbildung als Pflegefachhelfer | Initiative und Einsatzbereitschaft | Organisationsfähigkeit | Fähigkeit Verantwortung wahrzunehmen | Bereitschaft zum Schichtdienst | Freude am Umgang mit Menschen | eigene Kritikfähigkeit und Selbstreflexion,,5,,https://www.klinik-fraenkische-schweiz.de/herz/ueber_uns/stellenangebote/pflegefachhelfer-innere-medizin
Klinik Fränkische Schweiz (Ebermannstadt),Ebermannstadt,Pflegezentrum,Pflegefachhelfer (m/w/d) im Pflegezentrum,hilfskraft,,alle tariflichen Leistungen nach dem TVöD-B,,,,abgeschlossene Ausbildung als Pflegefachhelfer | Initiative und Einsatzbereitschaft | Organisationsfähigkeit | Fähigkeit Verantwortung wahrzunehmen | Bereitschaft zum Schichtdienst | Freude am Umgang mit Menschen | eigene Kritikfähigkeit und Selbstreflexion,,5,,https://www.klinik-fraenkische-schweiz.de/herz/ueber_uns/stellenangebote/pflegefachhelfer-mwd
Klinik Fränkische Schweiz (Ebermannstadt),Ebermannstadt,Pflegezentrum,Pflegefachkraft (w/m/d) im Pflegezentrum (Altenpflege oder Krankenpflege) in Voll- und/oder Teilzeit,pflegefachkraft,,alle tariflichen Leistungen nach dem TVöD-K,,,vollzeit_teilzeit,"abgeschlossenen Ausbildung als examinierte Pflegefachkraft | Fähigkeit, Verantwortung wahrzunehmen | Initiative und Einsatzbereitschaft | Organisationsfähigkeit, Teamfähigkeit | Konfliktfähigkeit | Bereitschaft zum Schichtdienst | physische und psychische Stabilität | Freude am Umgang mit Menschen",,5,,https://www.klinik-fraenkische-schweiz.de/herz/ueber_uns/stellenangebote/pflegefachkraft-mwd
Klinik Füssen,Füssen,OP,Pflegefachfrau/-mann (m/w/d) oder Operationstechnische/r Assistent/in (m/w/d) für den OP,ota_ata,,"Attraktive Vergütung und Sozialleistungen gem. TVöD (30 Tage Urlaub, Jahressonderzahlung, etc.)",nein,,Voll- oder Teilzeit,Abgeschlossenes Examen zur/m Gesundheits- und Krankenpfleger/in bzw. Pflegefachmann/-frau oder operationstechnischen Assistenten,idealerweise Erfahrungen im OP oder eine Fachweiterbildung,4,Zuordnung aus dem vorherigen Lauf übernommen,https://www.kliniken-oal-kf.de/karriere/karriereportal/stellenangebote/s9c4dd482-0517-4806-9d13-79cf52d4ff54--pflegefachfrau-mann-mwd-oder-operationstechnischer-assistentin-mwd-fuer-den-op
Klinik Füssen,Füssen,Allgemein-/Unfallchirurgie – Station 6.1,Pflegefachkraft (m/w/d) Allgemein-/Unfallchirurgie – Station 6.1,pflegefachkraft,,"Attraktive Vergütung nach TVöD in der Entgeltgruppe P 7 – je nach Berufserfahrung und Qualifikation 3.510,30 – 4.305,40 € brutto monatlich (bei Vollzeitbeschäftigung) zzgl. 90 % Jahressonderzahlung",nein,,Voll- oder Teilzeit,Abgeschlossenes Examen zum Gesundheits- und Krankenpfleger bzw. Ausbildung zur Pflegefachfrau/-mann,"Idealerweise eine Weiterbildung im Bereich CPU, HFU oder TSU",4,"Zuordnung aus dem vorherigen Lauf übernommen · pay_grade auf der Seite nicht gefunden, geleert",https://www.kliniken-oal-kf.de/karriere/karriereportal/stellenangebote/s8606c2f0-9951-40de-959c-4a8c945baea3--pflegefachkraft-mwd-allgemein-unfallchirurgie-station-6-1
Klinik Füssen,Füssen,Innere Medizin – Station 3.1,Pflegefachkraft (m/w/d) Innere Medizin – Station 3.1,pflegefachkraft,,"Attraktive Vergütung nach TVöD in der Entgeltgruppe P 7 – je nach Berufserfahrung und Qualifikation 3.510,30 – 4.305,40 € brutto monatlich (bei Vollzeitbeschäftigung) zzgl. 90 % Jahressonderzahlung",nein,,Voll- oder Teilzeit,Abgeschlossenes Examen zum Gesundheits- und Krankenpfleger bzw. Ausbildung zur Pflegefachfrau/-mann,,4,"Zuordnung aus dem vorherigen Lauf übernommen · pay_grade auf der Seite nicht gefunden, geleert",https://www.kliniken-oal-kf.de/karriere/karriereportal/stellenangebote/se7fc2c3e-6749-4fa4-9398-7a0721c76b03--pflegefachkraft-mwd-innere-medizin-station-3-1
Klinik Füssen,Füssen,Geriatrische Reha – Station 5.2,Pflegefachkraft (m/w/d) für die Geriatrische Reha – Station 5.2,pflegefachkraft,,"Attraktive Vergütung nach TVöD in der Entgeltgruppe P 7 – je nach Berufserfahrung und Qualifikation 3.510,30 – 4.305,40 € brutto monatlich (bei Vollzeitbeschäftigung) zzgl. 90 % Jahressonderzahlung",nein,,Voll- oder Teilzeit,Abgeschlossenes Examen zum Gesundheits- und Krankenpfleger bzw. Ausbildung zur Pflegefachfrau/-mann,Idealerweise eine Weiterbildung mit Schwerpunkt Geriatrie,4,"Zuordnung aus dem vorherigen Lauf übernommen · pay_grade auf der Seite nicht gefunden, geleert",https://www.kliniken-oal-kf.de/karriere/karriereportal/stellenangebote/s8c920d48-0638-40a2-8d16-258f79020ba4--pflegefachkraft-mwd-fuer-die-geriatrische-reha-station-5-2
Klinik Füssen,Füssen,interdisziplinäre Intensivstation – Station 3.0,Pflegefachkraft (m/w/d) für die interdisziplinäre Intensivstation – Station 3.0,pflegefachkraft,,"Attraktive Vergütung nach TVöD in der Entgeltgruppe P 8 – je nach Berufserfahrung und Qualifikation 3.701,21 – 4.488,98 € brutto monatlich (bei Vollzeitbeschäftigung) zzgl. 90 % Jahressonderzahlung",nein,,Voll- oder Teilzeit,Abgeschlossenes Examen zum Gesundheits- und Krankenpfleger bzw. Ausbildung zur Pflegefachfrau/-mann,,4,"Zuordnung aus dem vorherigen Lauf übernommen · pay_grade auf der Seite nicht gefunden, geleert",https://www.kliniken-oal-kf.de/karriere/karriereportal/stellenangebote/se5e6754e-6c5c-44fc-8d2f-55e8ebd7a01e--pflegefachkraft-mwd-fuer-die-interdisziplinaere-intensivstation-station-3-0
Klinik Füssen,Füssen,,s251165b8 f0b0 4266 9cea 9984c97ebb7a pflegefachkraft mwd verschiedene bereiche,pflegefachkraft,,,,,,,,5,,https://www.kliniken-oal-kf.de/karriere/karriereportal/stellenangebote/s251165b8-f0b0-4266-9cea-9984c97ebb7a--pflegefachkraft-mwd-verschiedene-bereiche
Klinik Füssen,Füssen,,s2588c344 fd26 4d2a 95ef 58a08bfe8bc3 praxisanleiter mwd anerkennung und integration,leitung,,,,,,,,5,,https://www.kliniken-oal-kf.de/karriere/karriereportal/stellenangebote/s2588c344-fd26-4d2a-95ef-58a08bfe8bc3--praxisanleiter-mwd-anerkennung-und-integration
Klinik Füssen,Füssen,Flexteam,s63151c1c ef41 423a b52a 4181f52a4be5 pflegefachkraft mwd flexteam minijob,pflegefachkraft,,,,,minijob,,,5,,https://www.kliniken-oal-kf.de/karriere/karriereportal/stellenangebote/s63151c1c-ef41-423a-b52a-4181f52a4be5--pflegefachkraft-mwd-flexteam-minijob
Klinik Günzburg,Günzburg,Hämatologie/Onkologie,Pflegefachmann/-frau (m/w/d) Hämatologie/Onkologie,pflegefachkraft,,Attraktive Vergütung: Nach TVöD-K plus arbeitgeberfinanzierter Zusatzversorgung,ja,Unterstützung bei der Wohnungssuche sowie Kinderbetreuung im unmittelbaren Umfeld,Vollzeit / Teilzeit,"Erfolgreich abgeschlossene, dreijährige examinierte Ausbildung im Gesundheitswesen",,3,Zuordnung aus dem vorherigen Lauf übernommen; Ort der Stelle nicht belegt,https://kliniken-gz-kru.de/karriere/stellenangebote/detail/39-pflegefachmann-frau-m-w-d-haematologie-onkologie
Klinik Günzburg,Günzburg,Intensivstation,Pflegefachmann/-frau (m/w/d) Intensivstation,pflegefachkraft,,Attraktive Vergütung: Nach TVöD-K plus arbeitgeberfinanzierter Zusatzversorgung,ja,Unterstützung bei der Wohnungssuche sowie Kinderbetreuung im unmittelbaren Umfeld,Vollzeit / Teilzeit,"Erfolgreich abgeschlossene, dreijährige examinierte Ausbildung im Gesundheitswesen",Möglichkeit zur Fachweiterbildung Anästhesie- und Intensivpflege im Haus (keine Pflicht),3,Zuordnung aus dem vorherigen Lauf übernommen; Ort der Stelle nicht belegt,https://kliniken-gz-kru.de/karriere/stellenangebote/detail/40-pflegefachmann-frau-m-w-d-intensivstation
